[2024-12-10 12:42:37 : INFO] - Cache for URL: https://theanalytichub.com/?p=13728 has been purged, triggered by action: save_post 
[2024-12-10 12:58:51 : INFO] - Cache for all archives page associated with post_type: post and Title: "You broke my heart. You broke my heart!" have been purged, triggered by action: save_post 
[2024-12-10 12:58:51 : INFO] - Cache for URL: https://theanalytichub.com/ask-your-friends-in-the-neighborhood-about-me/ has been purged, triggered by action: wp_trash_post 
[2024-12-10 12:58:51 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-10 12:58:51 : INFO] - Cache for URL: https://theanalytichub.com/?p=1741 has been purged, triggered by action: save_post 
[2024-12-10 12:58:51 : INFO] - Cache for previous post (with URL: https://theanalytichub.com/please-dont-tell-me-youre-innocent/) adjacent to post with id: 1741 has been purged, triggered by action: save_post 
[2024-12-10 12:58:51 : INFO] - Cache for all archives page associated with post_type: post and Title: "Ask your friends in the neighborhood about me" have been purged, triggered by action: save_post 
[2024-12-10 12:58:51 : INFO] - Cache for URL: https://theanalytichub.com/please-dont-tell-me-youre-innocent/ has been purged, triggered by action: wp_trash_post 
[2024-12-10 12:58:51 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-10 12:58:51 : INFO] - Cache for URL: https://theanalytichub.com/?p=1740 has been purged, triggered by action: save_post 
[2024-12-10 12:58:51 : INFO] - Cache for previous post (with URL: https://theanalytichub.com/godfather-ipsum-dolor-sit-amet-lorem/) adjacent to post with id: 1740 has been purged, triggered by action: save_post 
[2024-12-10 12:58:51 : INFO] - Cache for all archives page associated with post_type: post and Title: "Please don&#8217;t tell me you&#8217;re innocent" have been purged, triggered by action: save_post 
[2024-12-10 12:58:51 : INFO] - Cache for URL: https://theanalytichub.com/godfather-ipsum-dolor-sit-amet-lorem/ has been purged, triggered by action: wp_trash_post 
[2024-12-10 12:58:51 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-10 12:58:51 : INFO] - Cache for URL: https://theanalytichub.com/?p=1739 has been purged, triggered by action: save_post 
[2024-12-10 12:58:51 : INFO] - Cache for all archives page associated with post_type: post and Title: "Godfather ipsum dolor sit amet lorem" have been purged, triggered by action: save_post 
[2024-12-10 13:01:51 : INFO] - Cache for URL: https://theanalytichub.com/?post_type=courses&p=13740 has been purged, triggered by action: save_post 
[2024-12-10 13:01:51 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-10 13:01:52 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/we-can-harness-the-power-of-ai-in-visual-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "We can harness the power of Ai in Visual" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/yes-we-can-do-maps-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Yes We can do Maps!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/my-favourite-visual-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "My Favourite Visual!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/learn-to-add-trend-lines-and-forecast-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Learn to Add Trend Lines and Forecast" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-to-do-a-report-like-pivot-table-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How to do a Report like Pivot Table?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-do-i-visualize-four-dimension-data-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How do i visualize four dimension data?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/calculating-the-percentage-of-total-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Calculating the percentage of total" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/coloring-up-the-data-with-conditions-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Coloring Up the data with Conditions" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/i-got-data-from-sql-now-how-do-i-export-it-to-excel-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "I got data from SQL, now how do i export it to Excel?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-to-get-1000-visual-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "how to get 1000 visual?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-to-group-and-bin-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How to Group and Bin?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/there-are-three-kinda-filter-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "There are Three kinda Filter!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/apply-filter-to-all-my-pages-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Apply Filter to all my pages!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-to-find-top-10-item-like-excel-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How to find Top 10 Item like Excel?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/the-most-practical-setting-of-slicer-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "The Most Practical Setting of Slicer" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/bookmark-a-different-kind-of-filter-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Bookmark, a different kind of filter!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/understand-the-history-of-powerbi-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Understand the History of PowerBI" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-to-download-and-install-powerbi-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How to Download and Install PowerBI" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/when-and-why-we-need-powerbi-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "When and Why we Need PowerBI" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/powerbi-introduction-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "PowerBI Introduction" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/explore-how-to-import-data-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Explore how to import Data" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/where-did-my-data-go-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Where did my Data go!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-do-we-join-multiple-tables-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How do we Join multiple tables?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/why-naming-a-table-is-a-good-idea-while-importing-from-excel-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Why Naming a Table is a good idea while importing from Excel" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/exploring-the-visuals-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Exploring the visuals!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-do-i-now-format-my-visuals-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How do i now format my visuals?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/assignments/assignments-1-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: tutor_assignments and Title: "Assignments 1" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/first-thing-first-how-do-i-update-my-data-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "First thing First: How do i Update my Data?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/lets-learn-to-load-data-from-a-folder-to-automate-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Lets learn to load data from a folder to automate" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-do-i-transformation-my-ugly-data-set-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How do i transformation my Ugly Data set" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/learn-to-unpivot-data-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Learn to Unpivot Data" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/whats-the-difference-between-append-and-merge-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "What&#8217;s the difference between Append and Merge?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/do-data-quality-like-a-data-scientist-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Do Data Quality like a Data Scientist!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-do-we-vlookup-in-powerbi-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How do we vLookup in PowerBI?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/powerbi-if-is-so-cooler-than-excel-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "PowerBI if() is so cooler than excel!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/yes-we-can-do-if-in-powerquery-as-well-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Yes we can do if in PowerQuery as well!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/calculate-the-most-powerful-funtion-to-replace-sumifs-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Calculate the most powerful funtion to replace Sumifs!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/why-smart-user-uses-calandar-table-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Why Smart user uses Calandar Table?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/lets-use-some-time-intelligence-functions-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Lets use some Time Intelligence Functions!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-do-we-use-calculated-field-in-powerbi-3/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How do we use Calculated Field in PowerBI?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-do-we-use-calculated-field-in-powerbi-2-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How do we use Calculated Field in PowerBI?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/using-copilot-to-write-my-dax-in-powerbi-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Using Copilot to write my DAX in PowerBI" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/why-do-i-need-powerbi-service-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Why do i need PowerBI Service?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/publish-the-report-on-web-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Publish the report on Web" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/dashboard-is-actually-different-in-powerbi-lingo-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Dashboard is actually different in PowerBI Lingo!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/ask-questions-to-dashboard-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Ask Questions to Dashboard" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/dont-have-widnows-no-problem-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Don&#8217;t have widnows? No Problem!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-do-i-set-permission-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How do i set Permission?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/analyze-with-excel-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Analyze with Excel" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/yes-we-can-now-do-live-interaction-from-powerpoint-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Yes we can now do live interaction from PowerPoint!" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/how-do-i-automate-my-data-in-powerbi-service-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "How do i automate my data in PowerBI Service?" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/getting-smarter-using-powerbi-mobile-app-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Getting Smarter Using PowerBI Mobile App" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/there-is-another-kind-of-app-its-powerbi-app-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "There is another kind of App! Its PowerBI App" has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live-2/lesson/yes-we-can-embed-powerbi-report-in-web-as-well-2/ has been purged, triggered by action: save_post 
[2024-12-10 13:01:52 : INFO] - Cache for archive page associated with post_type: lesson and Title: "Yes, we can embed PowerBI Report in Web As well!" has been purged, triggered by action: save_post 
[2024-12-10 13:02:07 : INFO] - Cache for URL: https://theanalytichub.com/?post_type=courses&p=13725 has been purged, triggered by action: save_post 
[2024-12-10 13:02:07 : INFO] - Cache for archive page associated with post_type: courses and Title: "New Course" has been purged, triggered by action: save_post 
[2024-12-10 13:03:20 : INFO] - Cache for URL: https://theanalytichub.com/?post_type=courses&p=13740 has been purged, triggered by action: save_post 
[2024-12-10 13:03:20 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI (Copy 3)" has been purged, triggered by action: save_post 
[2024-12-10 13:03:20 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-10 13:03:20 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-10 13:05:56 : INFO] - Cache for URL: https://theanalytichub.com/product/master-data-analysis-with-power-bi/ has been purged, triggered by action: save_post 
[2024-12-10 13:05:56 : INFO] - Cache for archive page associated with post_type: product and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-10 13:05:56 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-10 13:05:56 : INFO] - Cache for URL: https://theanalytichub.com/product/master-data-analysis-with-power-bi/ has been purged, triggered by action: woocommerce_product_set_stock 
[2024-12-10 13:05:56 : INFO] - Cache for URL: https://theanalytichub.com/courses/master-data-analysis-with-power-bi/ has been purged, triggered by action: save_post 
[2024-12-10 13:05:56 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-10 13:05:57 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-10 13:05:57 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
